registry_record_id,registry_source_id,role,evidence_span,license_status
primitive.repo.scripts_config_py.const.py_const_scripts_config_schemas_dir,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 25, ""symbol"": ""SCHEMAS_DIR""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_vocab_dir,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 26, ""symbol"": ""VOCAB_DIR""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_dist_dir,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 27, ""symbol"": ""DIST_DIR""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_docs_dir,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 28, ""symbol"": ""DOCS_DIR""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_oh_catalog_row_dir_env,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 33, ""symbol"": ""OH_CATALOG_ROW_DIR_ENV""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_catalog_row_dir,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 34, ""symbol"": ""DEFAULT_CATALOG_ROW_DIR""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_postgres_compose_file,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 37, ""symbol"": ""DEFAULT_POSTGRES_COMPOSE_FILE""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_postgres_schema_file,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 38, ""symbol"": ""DEFAULT_POSTGRES_SCHEMA_FILE""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_postgres_count_sql,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 39, ""symbol"": ""DEFAULT_POSTGRES_COUNT_SQL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_postgres_load_sql,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 40, ""symbol"": ""DEFAULT_POSTGRES_LOAD_SQL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_local_postgres_database_url,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 41, ""symbol"": ""DEFAULT_LOCAL_POSTGRES_DATABASE_URL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_managed_postgres_pgvector_url_placeholder,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 42, ""symbol"": ""MANAGED_POSTGRES_PGVECTOR_URL_PLACEHOLDER""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_database_url_env,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 43, ""symbol"": ""DEFAULT_DATABASE_URL_ENV""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_oh_pg_dsn_env,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 48, ""symbol"": ""OH_PG_DSN_ENV""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_postgres_dsn_env_vars,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 49, ""symbol"": ""POSTGRES_DSN_ENV_VARS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_libpq_pg_env_prefix,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 50, ""symbol"": ""LIBPQ_PG_ENV_PREFIX""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_admin_demo_runtime_settings,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 57, ""symbol"": ""ADMIN_DEMO_RUNTIME_SETTINGS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_context_gateway_runtime_settings,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 182, ""symbol"": ""CONTEXT_GATEWAY_RUNTIME_SETTINGS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_context_worker_runtime_settings,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 224, ""symbol"": ""CONTEXT_WORKER_RUNTIME_SETTINGS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_context_tool_adapter_runtime_settings,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 325, ""symbol"": ""CONTEXT_TOOL_ADAPTER_RUNTIME_SETTINGS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_context_tool_adapter_service_endpoints,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 366, ""symbol"": ""CONTEXT_TOOL_ADAPTER_SERVICE_ENDPOINTS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_node_research_runtime_settings,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 520, ""symbol"": ""NODE_RESEARCH_RUNTIME_SETTINGS""}",candidate
